iteration,total_remain,remain_fraction,assigned_fraction,assigned_delta,progress_rel_pct,stagnant_iterations,stagnant_limit,initial_isolated_flow,non_allocated_flow,run
82,6340977.316515861,0.2009411493504646,0.7990588506495354,32699.486133402213,0.10362239,0,3,0.0,0.0,goal6_probe_2m
83,6142053.205112178,0.19463738297759586,0.8053626170224042,198924.1114036832,0.63037664,0,3,0.0,172921.1996085849,goal6_probe_2m
84,6113168.836525581,0.19372205747927942,0.8062779425207206,28884.368586597033,0.09153255,0,3,0.0,0.0,goal6_probe_2m
85,6040281.970092135,0.19141232350884818,0.8085876764911518,72886.8664334463,0.2309734,0,3,0.0,35955.143222806204,goal6_probe_2m
86,6009204.395191328,0.19042749683184243,0.8095725031681575,31077.57490080688,0.09848267,0,3,0.0,0.0,goal6_probe_2m
87,5976909.887635812,0.18940410640762337,0.8105958935923766,32294.507555515505,0.10233904,0,3,0.0,0.0,goal6_probe_2m
88,5940285.205835246,0.18824349578117744,0.8117565042188226,36624.681800566614,0.11606106,0,3,0.0,0.0,goal6_probe_2m
89,5892373.903029329,0.18672522000567146,0.8132747799943285,47911.302805916406,0.15182758,0,3,0.0,12795.094565517466,goal6_probe_2m
90,5851288.678530902,0.1854232578916401,0.8145767421083598,41085.22449842747,0.13019621,0,3,0.0,0.0,goal6_probe_2m
91,5812267.140731498,0.18418669257001186,0.8158133074299881,39021.537799404,0.12365653,0,3,0.0,0.0,goal6_probe_2m
92,5782581.077227321,0.18324596191881032,0.8167540380811897,29686.063504176214,0.09407307,0,3,0.0,0.0,goal6_probe_2m
93,5746141.46453687,0.18209121600340805,0.817908783996592,36439.612690451555,0.11547459,0,3,0.0,0.0,goal6_probe_2m
94,5720413.367418411,0.18127591054692613,0.8187240894530738,25728.09711845871,0.08153055,0,3,0.0,247.17720074037513,goal6_probe_2m
95,5689177.177655758,0.1802860574755568,0.8197139425244432,31236.18976265285,0.09898531,0,3,0.0,0.0,goal6_probe_2m
96,5661504.272456166,0.179409122407174,0.820590877592826,27672.905199592,0.08769351,0,3,0.0,0.0,goal6_probe_2m
97,5637640.847384323,0.17865290710754106,0.8213470928924589,23863.42507184297,0.07562153,0,3,0.0,0.0,goal6_probe_2m
